Event.Date,Make,Model,Aircraft.Type,Total.Passengers,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Fatal.Serious.Injury.Fraction,Aircraft.Destroyed_Clean,Number.of.Engines,Engine.Type,Weather.Condition,Purpose.of.flight,Broad.phase.of.flight
1982-12-29,Beech,G35,Beech G35,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Approach
1982-12-29,Cessna,152,Cessna 152,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Reciprocating,VMC,Instructional,Landing
1982-12-29,Beech,V35B,Beech V35B,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Landing
1982-12-30,Piper,PA-28RT-201T,Piper PA-28RT-201T,2.0,0.0,2.0,0.0,0.0,0.6666666666666666,1.0,1.0,Reciprocating,IMC,Personal,Approach
1982-12-30,Cessna,310R,Cessna 310R,1.0,1.0,0.0,0.0,0.0,0.5,1.0,2.0,Reciprocating,VMC,Unknown,Takeoff
1982-12-30,Piper,PA-28-180,Piper PA-28-180,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,Reciprocating,IMC,Unknown,Unknown
1982-12-30,Piper,PA-28R-200,Piper PA-28R-200,4.0,0.0,4.0,0.0,0.0,0.8,1.0,1.0,Reciprocating,IMC,Personal,Cruise
1982-12-30,Piper,J-3,Piper J-3,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Taxi
1982-12-30,Cessna,150M,Cessna 150M,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Cruise
1982-12-30,Cessna,152,Cessna 152,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Maneuvering
1982-12-30,Cessna,182N,Cessna 182N,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Climb
1982-12-30,Cessna,182P,Cessna 182P,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Takeoff
1982-12-30,Beech,58P,Beech 58P,4.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,Reciprocating,IMC,Personal,Cruise
